fecha,fecha_original_cammesa,demHoy,cloudcover,pressure_msl,precipitation,temperature_2m,wind_speed_10m,wind_direction_10m,relative_humidity_2m
2025-10-01 00:00:00-03:00,2025-10-01 00:00:00-03:00,2449.0,3,1025.1,0.0,14.3,3.1,159,71
2025-10-01 01:00:00-03:00,2025-10-01 01:00:00-03:00,2193.0,43,1025.5,0.0,13.3,3.3,167,77
2025-10-01 02:00:00-03:00,2025-10-01 02:00:00-03:00,2046.0,58,1025.3,0.0,12.6,3.3,167,81
2025-10-01 03:00:00-03:00,2025-10-01 03:00:00-03:00,1962.0,0,1026.0,0.0,11.2,2.9,180,85
2025-10-01 04:00:00-03:00,2025-10-01 04:00:00-03:00,1944.0,0,1025.8,0.0,10.7,3.0,166,86
2025-10-01 05:00:00-03:00,2025-10-01 05:00:00-03:00,1995.0,0,1025.7,0.0,10.5,2.4,153,85
2025-10-01 06:00:00-03:00,2025-10-01 06:00:00-03:00,2131.0,0,1026.2,0.0,10.6,2.3,141,84
2025-10-01 07:00:00-03:00,2025-10-01 07:00:00-03:00,2367.0,0,1026.5,0.0,10.7,1.8,127,86
2025-10-01 08:00:00-03:00,2025-10-01 08:00:00-03:00,2533.0,0,1027.5,0.0,12.5,2.1,121,85
2025-10-01 09:00:00-03:00,2025-10-01 09:00:00-03:00,2690.0,0,1027.8,0.0,17.0,4.4,55,77
2025-10-01 10:00:00-03:00,2025-10-01 10:00:00-03:00,2778.0,0,1027.7,0.0,19.5,8.4,47,60
2025-10-01 11:00:00-03:00,2025-10-01 11:00:00-03:00,2866.0,0,1027.3,0.0,21.2,9.9,44,44
2025-10-01 12:00:00-03:00,2025-10-01 12:00:00-03:00,2899.0,0,1027.0,0.0,22.2,11.0,38,32
2025-10-01 13:00:00-03:00,2025-10-01 13:00:00-03:00,2903.0,0,1026.7,0.0,22.9,10.7,42,29
2025-10-01 14:00:00-03:00,2025-10-01 14:00:00-03:00,2850.0,0,1026.0,0.0,23.4,10.4,44,28
2025-10-01 15:00:00-03:00,2025-10-01 15:00:00-03:00,,6,1025.2,0.0,23.5,10.2,48,26
2025-10-01 16:00:00-03:00,2025-10-01 16:00:00-03:00,,0,1024.3,0.0,23.3,10.1,55,26
2025-10-01 17:00:00-03:00,2025-10-01 17:00:00-03:00,,0,1024.1,0.0,22.6,10.0,60,30
2025-10-01 18:00:00-03:00,2025-10-01 18:00:00-03:00,,68,1024.1,0.0,21.2,8.9,63,39
2025-10-01 19:00:00-03:00,2025-10-01 19:00:00-03:00,,85,1024.6,0.0,18.8,5.8,68,50
2025-10-01 20:00:00-03:00,2025-10-01 20:00:00-03:00,,91,1024.9,0.0,16.9,4.9,73,56
2025-10-01 21:00:00-03:00,2025-10-01 21:00:00-03:00,,100,1025.2,0.0,15.8,4.7,81,64
2025-10-01 22:00:00-03:00,2025-10-01 22:00:00-03:00,,89,1025.3,0.0,15.1,5.0,90,74
2025-10-01 23:00:00-03:00,2025-10-01 23:00:00-03:00,,100,1025.0,0.0,14.8,5.1,82,81
