fecha,Hoy,cloudcover,pressure_msl,precipitation,temperature_2m,wind_speed_10m,wind_direction_10m,relative_humidity_2m,datetime,fecha_original_cammesa
2025-09-10 00:00:00,2318.0,47,1015.2,0.0,12.4,9.6,13,74,2025-09-10 00:00:00-03:00,
2025-09-10 01:00:00,2185.0,68,1014.5,0.0,12.2,10.4,14,76,2025-09-10 01:00:00-03:00,
2025-09-10 02:00:00,2090.0,87,1014.3,0.0,11.9,10.7,14,77,2025-09-10 02:00:00-03:00,
2025-09-10 03:00:00,2124.0,100,1014.1,0.0,11.5,10.1,6,80,2025-09-10 03:00:00-03:00,
2025-09-10 04:00:00,1917.0,97,1015.0,0.0,11.1,9.8,6,84,2025-09-10 04:00:00-03:00,
2025-09-10 05:00:00,2035.0,100,1015.1,0.0,11.3,10.2,10,82,2025-09-10 05:00:00-03:00,
2025-09-10 06:00:00,2076.0,100,1015.4,0.0,13.7,12.8,11,72,2025-09-10 06:00:00-03:00,
2025-09-10 07:00:00,2230.0,100,1015.7,0.0,16.2,14.2,7,65,2025-09-10 07:00:00-03:00,
2025-09-10 08:00:00,2226.0,38,1015.9,0.0,18.7,16.2,357,59,2025-09-10 08:00:00-03:00,
2025-09-10 09:00:00,2268.0,0,1016.0,0.0,20.9,19.2,347,53,2025-09-10 09:00:00-03:00,
2025-09-10 10:00:00,2262.0,0,1015.0,0.0,22.5,20.4,351,49,2025-09-10 10:00:00-03:00,
2025-09-10 11:00:00,2330.0,76,1013.4,0.0,23.0,20.2,358,48,2025-09-10 11:00:00-03:00,
2025-09-10 12:00:00,2261.0,83,1012.8,0.0,22.9,17.8,339,49,2025-09-10 12:00:00-03:00,
2025-09-10 13:00:00,2312.0,97,1013.3,0.3,22.8,17.4,308,52,2025-09-10 13:00:00-03:00,
2025-09-10 14:00:00,2177.0,100,1013.7,0.1,22.6,15.0,281,50,2025-09-10 14:00:00-03:00,
2025-09-10 15:00:00,2229.0,85,1015.6,0.0,20.6,21.7,222,56,2025-09-10 15:00:00-03:00,
2025-09-10 16:00:00,2137.0,54,1017.0,0.0,18.8,12.8,191,63,2025-09-10 16:00:00-03:00,
2025-09-10 17:00:00,2198.0,0,1018.2,0.0,17.4,7.6,205,70,2025-09-10 17:00:00-03:00,
2025-09-10 18:00:00,,0,1019.3,0.0,15.8,10.5,218,78,2025-09-10 18:00:00-03:00,
2025-09-10 19:00:00,,0,1020.3,0.0,14.5,10.3,216,82,2025-09-10 19:00:00-03:00,
2025-09-10 20:00:00,,0,1021.0,0.0,13.5,8.9,220,83,2025-09-10 20:00:00-03:00,
